altura_cm,habilidades,nome,numero,peso_kg,proximas_evolucoes,tipos,url
1.4 m (4′07″),"[{'nome': 'Seed Sower', 'desc': 'Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.', 'efeito': 'Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.', 'url': 'https://pokemondb.net/ability/seed-sower'}, {'nome': 'Harvest', 'desc': 'May create another Berry after one is used.', 'efeito': 'May create another Berry after one is used.', 'url': 'https://pokemondb.net/ability/harvest'}]",Arboliva,930,48.2 kg (106.3 lbs),,"Grass, Normal",https://pokemondb.net/pokedex/arboliva
0.2 m (0′08″),"[{'nome': 'Unburden', 'desc': 'Raises Speed if a held item is used.', 'efeito': 'Raises Speed if a held item is used.', 'url': 'https://pokemondb.net/ability/unburden'}, {'nome': 'Pickpocket', 'desc': 'Steals an item when hit by another Pokémon.', 'efeito': 'Steals an item when hit by another Pokémon.', 'url': 'https://pokemondb.net/ability/pickpocket'}, {'nome': 'Prankster', 'desc': 'Gives priority to a status move.', 'efeito': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}]",Shroodle,944,0.7 kg (1.5 lbs),"[{'numero': 945, 'nome': 'Grafaiai', 'url': 'https://pokemondb.net/pokedex/grafaiai'}]","Poison, Normal",https://pokemondb.net/pokedex/shroodle
1.4 m (4′07″),"[{'nome': 'Wind Power', 'desc': 'The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.', 'efeito': 'If a Pokémon with Wind Power is hit by a wind move, the power of the next Electric-type move it uses is doubled.', 'url': 'https://pokemondb.net/ability/wind-power'}, {'nome': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'efeito': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'nome': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'efeito': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}]",Kilowattrel,941,38.6 kg (85.1 lbs),,"Electric, Flying",https://pokemondb.net/pokedex/kilowattrel
0.5 m (1′08″),"[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'nome': 'Stakeout', 'desc': 'Doubles the damage dealt to the target’s replacement if the target switches out.', 'efeito': 'Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.', 'url': 'https://pokemondb.net/ability/stakeout'}]",Maschiff,942,16.0 kg (35.3 lbs),"[{'numero': 943, 'nome': 'Mabosstiff', 'url': 'https://pokemondb.net/pokedex/mabosstiff'}]",Dark,https://pokemondb.net/pokedex/maschiff
0.6 m (2′00″),"[{'nome': 'Early Bird', 'desc': 'Awakens quickly from sleep.', 'efeito': 'The Pokémon awakens quickly from sleep.', 'url': 'https://pokemondb.net/ability/early-bird'}, {'nome': 'Harvest', 'desc': 'May create another Berry after one is used.', 'efeito': 'May create another Berry after one is used.', 'url': 'https://pokemondb.net/ability/harvest'}]",Dolliv,929,11.9 kg (26.2 lbs),"[{'numero': 930, 'nome': 'Arboliva', 'url': 'https://pokemondb.net/pokedex/arboliva'}]","Grass, Normal",https://pokemondb.net/pokedex/dolliv
0.6 m (2′00″),"[{'nome': 'Flash Fire', 'desc': 'Powers up if hit by fire.', 'efeito': ""When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle."", 'url': 'https://pokemondb.net/ability/flash-fire'}, {'nome': 'Flame Body', 'desc': 'Burns the foe on contact.', 'efeito': 'If a Pokémon with Flame Body is hit by a move that makes contact, there is a 30% chance the attacker will become burned.', 'url': 'https://pokemondb.net/ability/flame-body'}]",Charcadet,935,10.5 kg (23.1 lbs),"[{'numero': 936, 'nome': 'Armarouge', 'url': 'https://pokemondb.net/pokedex/armarouge'}, {'numero': 937, 'nome': 'Ceruledge', 'url': 'https://pokemondb.net/pokedex/ceruledge'}]",Fire,https://pokemondb.net/pokedex/charcadet
1.6 m (5′03″),"[{'nome': 'Flash Fire', 'desc': 'Powers up if hit by fire.', 'efeito': ""When a Pokémon with Flash Fire is hit by a Fire-type move, it does not deal damage but instead raises the power of the bearer's Fire-type moves by 50%. Subsequent hits do not raise the power even more, but the effect remains while the ability-bearer is in battle."", 'url': 'https://pokemondb.net/ability/flash-fire'}, {'nome': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'efeito': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]",Ceruledge,937,62.0 kg (136.7 lbs),,"Fire, Ghost",https://pokemondb.net/pokedex/ceruledge
0.7 m (2′04″),"[{'nome': 'Unburden', 'desc': 'Raises Speed if a held item is used.', 'efeito': 'Raises Speed if a held item is used.', 'url': 'https://pokemondb.net/ability/unburden'}, {'nome': 'Poison Touch', 'desc': 'May poison targets when a Pokémon makes contact.', 'efeito': 'May poison targets when a Pokémon makes contact.', 'url': 'https://pokemondb.net/ability/poison-touch'}, {'nome': 'Prankster', 'desc': 'Gives priority to a status move.', 'efeito': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}]",Grafaiai,945,27.2 kg (60.0 lbs),,"Poison, Normal",https://pokemondb.net/pokedex/grafaiai
1.2 m (3′11″),"[{'nome': 'Electromorphosis', 'desc': 'The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.', 'efeito': 'If a Pokémon with Electromorphosis is hit by an attack, the power of the next Electric-type move it uses is doubled.', 'url': 'https://pokemondb.net/ability/electromorphosis'}, {'nome': 'Static', 'desc': 'Paralyzes on contact.', 'efeito': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'nome': 'Damp', 'desc': 'Prevents self-destruction.', 'efeito': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]",Bellibolt,939,113.0 kg (249.1 lbs),,Electric,https://pokemondb.net/pokedex/bellibolt
0.4 m (1′04″),"[{'nome': 'Wind Power', 'desc': 'The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.', 'efeito': 'If a Pokémon with Wind Power is hit by a wind move, the power of the next Electric-type move it uses is doubled.', 'url': 'https://pokemondb.net/ability/wind-power'}, {'nome': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'efeito': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'nome': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'efeito': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}]",Wattrel,940,3.6 kg (7.9 lbs),"[{'numero': 941, 'nome': 'Kilowattrel', 'url': 'https://pokemondb.net/pokedex/kilowattrel'}]","Electric, Flying",https://pokemondb.net/pokedex/wattrel
2.3 m (7′07″),"[{'nome': 'Purifying Salt', 'desc': 'The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.', 'efeito': 'Protects from status conditions and halves damage from Ghost-type moves.', 'url': 'https://pokemondb.net/ability/purifying-salt'}, {'nome': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'efeito': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Clear Body', 'desc': 'Prevents ability reduction.', 'efeito': 'Prevents other Pokémon from lowering its stats.', 'url': 'https://pokemondb.net/ability/clear-body'}]",Garganacl,934,240.0 kg (529.1 lbs),,Rock,https://pokemondb.net/pokedex/garganacl
0.5 m (1′08″),"[{'nome': 'Well-Baked Body', 'desc': 'The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.', 'efeito': 'Immune to Fire-type moves, and Defense is sharply boosted.', 'url': 'https://pokemondb.net/ability/well-baked-body'}, {'nome': 'Aroma Veil', 'desc': 'Protects allies from attacks that limit their move choices.', 'efeito': 'Protects allies from attacks that limit their move choices.', 'url': 'https://pokemondb.net/ability/aroma-veil'}]",Dachsbun,927,14.9 kg (32.8 lbs),,Fairy,https://pokemondb.net/pokedex/dachsbun
1.1 m (3′07″),"[{'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Guard Dog', 'desc': 'Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.', 'efeito': 'Boosts Attack if intimidated, and prevents being forced to switch out.', 'url': 'https://pokemondb.net/ability/guard-dog'}, {'nome': 'Stakeout', 'desc': 'Doubles the damage dealt to the target’s replacement if the target switches out.', 'efeito': 'Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.', 'url': 'https://pokemondb.net/ability/stakeout'}]",Mabosstiff,943,61.0 kg (134.5 lbs),,Dark,https://pokemondb.net/pokedex/mabosstiff
0.3 m (1′00″),"[{'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'nome': 'Insomnia', 'desc': 'Prevents sleep.', 'efeito': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'nome': 'Klutz', 'desc': 'The Pokémon can’t use any held items.', 'efeito': ""The Pokémon can't use any held items."", 'url': 'https://pokemondb.net/ability/klutz'}]",Capsakid,951,3.0 kg (6.6 lbs),"[{'numero': 952, 'nome': 'Scovillain', 'url': 'https://pokemondb.net/pokedex/scovillain'}]",Grass,https://pokemondb.net/pokedex/capsakid
0.3 m (1′00″),"[{'nome': 'Own Tempo', 'desc': 'Prevents confusion.', 'efeito': 'Prevents the Pokémon from becoming confused.', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'nome': 'Static', 'desc': 'Paralyzes on contact.', 'efeito': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'nome': 'Damp', 'desc': 'Prevents self-destruction.', 'efeito': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]",Tadbulb,938,0.4 kg (0.9 lbs),"[{'numero': 939, 'nome': 'Bellibolt', 'url': 'https://pokemondb.net/pokedex/bellibolt'}]",Electric,https://pokemondb.net/pokedex/tadbulb
0.3 m (1′00″),"[{'nome': 'Own Tempo', 'desc': 'Prevents confusion.', 'efeito': 'Prevents the Pokémon from becoming confused.', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'nome': 'Klutz', 'desc': 'The Pokémon can’t use any held items.', 'efeito': ""The Pokémon can't use any held items."", 'url': 'https://pokemondb.net/ability/klutz'}]",Fidough,926,10.9 kg (24.0 lbs),"[{'numero': 927, 'nome': 'Dachsbun', 'url': 'https://pokemondb.net/pokedex/dachsbun'}]",Fairy,https://pokemondb.net/pokedex/fidough
0.3 m (1′00″),"[{'nome': 'Early Bird', 'desc': 'Awakens quickly from sleep.', 'efeito': 'The Pokémon awakens quickly from sleep.', 'url': 'https://pokemondb.net/ability/early-bird'}, {'nome': 'Harvest', 'desc': 'May create another Berry after one is used.', 'efeito': 'May create another Berry after one is used.', 'url': 'https://pokemondb.net/ability/harvest'}]",Smoliv,928,6.5 kg (14.3 lbs),"[{'numero': 929, 'nome': 'Dolliv', 'url': 'https://pokemondb.net/pokedex/dolliv'}, {'numero': 930, 'nome': 'Arboliva', 'url': 'https://pokemondb.net/pokedex/arboliva'}]","Grass, Normal",https://pokemondb.net/pokedex/smoliv
0.2 m (0′08″),"[{'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'efeito': 'Powers up “not very effective” moves.', 'url': 'https://pokemondb.net/ability/tinted-lens'}]",Nymble,919,1.0 kg (2.2 lbs),"[{'numero': 920, 'nome': 'Lokix', 'url': 'https://pokemondb.net/pokedex/lokix'}]",Bug,https://pokemondb.net/pokedex/nymble
0.3 m (1′00″),"[{'nome': 'Insomnia', 'desc': 'Prevents sleep.', 'efeito': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'nome': 'Stakeout', 'desc': 'Doubles the damage dealt to the target’s replacement if the target switches out.', 'efeito': 'Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.', 'url': 'https://pokemondb.net/ability/stakeout'}]",Tarountula,917,4.0 kg (8.8 lbs),"[{'numero': 918, 'nome': 'Spidops', 'url': 'https://pokemondb.net/pokedex/spidops'}]",Bug,https://pokemondb.net/pokedex/tarountula
1.0 m (3′03″),"[{'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Tinted Lens', 'desc': 'Powers up “not very effective” moves.', 'efeito': 'Powers up “not very effective” moves.', 'url': 'https://pokemondb.net/ability/tinted-lens'}]",Lokix,920,17.5 kg (38.6 lbs),,"Bug, Dark",https://pokemondb.net/pokedex/lokix
0.9 m (2′11″),"[{'nome': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'efeito': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'nome': 'Natural Cure', 'desc': 'Heals upon switching out.', 'efeito': 'All status problems heal when it switches out.', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'nome': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'efeito': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}]",Pawmot,923,41.0 kg (90.4 lbs),,"Electric, Fighting",https://pokemondb.net/pokedex/pawmot
0.3 m (1′00″),"[{'nome': 'Static', 'desc': 'Paralyzes on contact.', 'efeito': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'nome': 'Natural Cure', 'desc': 'Heals upon switching out.', 'efeito': 'All status problems heal when it switches out.', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'nome': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'efeito': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}]",Pawmi,921,2.5 kg (5.5 lbs),"[{'numero': 922, 'nome': 'Pawmo', 'url': 'https://pokemondb.net/pokedex/pawmo'}, {'numero': 923, 'nome': 'Pawmot', 'url': 'https://pokemondb.net/pokedex/pawmot'}]",Electric,https://pokemondb.net/pokedex/pawmi
2.2 m (7′03″),"[{'nome': 'Chilling Neigh', 'desc': 'When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.', 'efeito': 'Boosts Attack after knocking out a Pokémon.', 'url': 'https://pokemondb.net/ability/chilling-neigh'}]",Glastrier,896,800.0 kg (1763.7 lbs),,Ice,https://pokemondb.net/pokedex/glastrier
0.4 m (1′04″),"[{'nome': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'efeito': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'nome': 'Natural Cure', 'desc': 'Heals upon switching out.', 'efeito': 'All status problems heal when it switches out.', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'nome': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'efeito': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}]",Pawmo,922,6.5 kg (14.3 lbs),"[{'numero': 923, 'nome': 'Pawmot', 'url': 'https://pokemondb.net/pokedex/pawmot'}]","Electric, Fighting",https://pokemondb.net/pokedex/pawmo
1.5 m (4′11″),"[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Protean', 'desc': 'Changes the Pokémon’s type to the type of the move it’s using.', 'efeito': ""Protean changes the Pokémon's type to that of its previously used attack."", 'url': 'https://pokemondb.net/ability/protean'}]",Meowscarada,908,31.2 kg (68.8 lbs),,"Grass, Dark",https://pokemondb.net/pokedex/meowscarada
0.4 m (1′04″),"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Unaware', 'desc': 'Ignores any change in ability by the foe.', 'efeito': 'Ignores any stat changes in the Pokémon.', 'url': 'https://pokemondb.net/ability/unaware'}]",Fuecoco,909,9.8 kg (21.6 lbs),"[{'numero': 910, 'nome': 'Crocalor', 'url': 'https://pokemondb.net/pokedex/crocalor'}, {'numero': 911, 'nome': 'Skeledirge', 'url': 'https://pokemondb.net/pokedex/skeledirge'}]",Fire,https://pokemondb.net/pokedex/fuecoco
1.8 m (5′11″),"[{'nome': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'efeito': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Moxie', 'desc': 'Boosts Attack after knocking out any Pokémon.', 'efeito': ""Moxie increases the user's Attack one stage upon fainting an opponent."", 'url': 'https://pokemondb.net/ability/moxie'}]",Quaquaval,914,61.9 kg (136.5 lbs),,"Water, Fighting",https://pokemondb.net/pokedex/quaquaval
0.6 m (2′00″),"[{'nome': 'Inner Focus', 'desc': 'Prevents flinching.', 'efeito': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}]",Kubfu,891,12.0 kg (26.5 lbs),"[{'numero': 892, 'nome': 'Urshifu', 'url': 'https://pokemondb.net/pokedex/urshifu'}, {'numero': 892, 'nome': 'Urshifu', 'url': 'https://pokemondb.net/pokedex/urshifu'}]",Fighting,https://pokemondb.net/pokedex/kubfu
1.0 m (3′03″),"[{'nome': 'Insomnia', 'desc': 'Prevents sleep.', 'efeito': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'nome': 'Stakeout', 'desc': 'Doubles the damage dealt to the target’s replacement if the target switches out.', 'efeito': 'Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.', 'url': 'https://pokemondb.net/ability/stakeout'}]",Spidops,918,16.5 kg (36.4 lbs),,Bug,https://pokemondb.net/pokedex/spidops
1.2 m (3′11″),"[{'nome': 'Transistor', 'desc': 'Powers up Electric-type moves.', 'efeito': 'Transistor increases the power of Electric-type moves used by this Pokémon by 50%.', 'url': 'https://pokemondb.net/ability/transistor'}]",Regieleki,894,145.0 kg (319.7 lbs),,Electric,https://pokemondb.net/pokedex/regieleki
0.9 m (2′11″),"[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Protean', 'desc': 'Changes the Pokémon’s type to the type of the move it’s using.', 'efeito': ""Protean changes the Pokémon's type to that of its previously used attack."", 'url': 'https://pokemondb.net/ability/protean'}]",Floragato,907,12.2 kg (26.9 lbs),"[{'numero': 908, 'nome': 'Meowscarada', 'url': 'https://pokemondb.net/pokedex/meowscarada'}]",Grass,https://pokemondb.net/pokedex/floragato
0.4 m (1′04″),"[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Protean', 'desc': 'Changes the Pokémon’s type to the type of the move it’s using.', 'efeito': ""Protean changes the Pokémon's type to that of its previously used attack."", 'url': 'https://pokemondb.net/ability/protean'}]",Sprigatito,906,4.1 kg (9.0 lbs),"[{'numero': 907, 'nome': 'Floragato', 'url': 'https://pokemondb.net/pokedex/floragato'}, {'numero': 908, 'nome': 'Meowscarada', 'url': 'https://pokemondb.net/pokedex/meowscarada'}]",Grass,https://pokemondb.net/pokedex/sprigatito
2.0 m (6′07″),"[{'nome': 'Grim Neigh', 'desc': 'When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.', 'efeito': 'Boosts Special Attack after knocking out a Pokémon.', 'url': 'https://pokemondb.net/ability/grim-neigh'}]",Spectrier,897,44.5 kg (98.1 lbs),,Ghost,https://pokemondb.net/pokedex/spectrier
1.8 m (5′11″),"[{'nome': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'efeito': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}]",Zarude,893,70.0 kg (154.3 lbs),,"Dark, Grass",https://pokemondb.net/pokedex/zarude
2.1 m (6′11″),"[{'nome': ""Dragon's Maw"", 'desc': 'Powers up Dragon-type moves.', 'efeito': ""Dragon's Maw increases the power of Dragon-type moves used by this Pokémon by 50%."", 'url': 'https://pokemondb.net/ability/dragons-maw'}]",Regidrago,895,200.0 kg (440.9 lbs),,Dragon,https://pokemondb.net/pokedex/regidrago
20.0 m (65′07″),"[{'nome': 'Pressure', 'desc': 'Raises foe’s PP usage.', 'efeito': 'Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.', 'url': 'https://pokemondb.net/ability/pressure'}]",Eternatus,890,950.0 kg (2094.4 lbs),,"Poison, Dragon",https://pokemondb.net/pokedex/eternatus
0.5 m (1′08″),"[{'nome': 'Aroma Veil', 'desc': 'Protects allies from attacks that limit their move choices.', 'efeito': 'Protects allies from attacks that limit their move choices.', 'url': 'https://pokemondb.net/ability/aroma-veil'}, {'nome': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'efeito': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'nome': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'efeito': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]",Lechonk,915,10.2 kg (22.5 lbs),"[{'numero': 916, 'nome': 'Oinkologne', 'url': 'https://pokemondb.net/pokedex/oinkologne'}, {'numero': 916, 'nome': 'Oinkologne', 'url': 'https://pokemondb.net/pokedex/oinkologne'}]",Normal,https://pokemondb.net/pokedex/lechonk
2.5 m (8′02″),"[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'efeito': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'nome': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'efeito': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}]",Overqwil,904,60.5 kg (133.4 lbs),,"Dark, Poison",https://pokemondb.net/pokedex/overqwil
1.0 m (3′03″),"[{'nome': 'Soul-Heart', 'desc': 'Boosts its Sp. Atk stat every time a Pokémon faints.', 'efeito': ""Soul-Heart raises the bearer's Special Attack one stage when any Pokémon on the field faints."", 'url': 'https://pokemondb.net/ability/soul-heart'}]",Magearna,801,80.5 kg (177.5 lbs),,"Steel, Fairy",https://pokemondb.net/pokedex/magearna
2.7 m (8′10″),"[{'nome': 'Refrigerate', 'desc': 'Normal-type moves become Ice-type moves.', 'efeito': 'Refrigerate causes all Normal-type attacking moves used by the Pokémon to become Ice-type, and increase in power by 20%.', 'url': 'https://pokemondb.net/ability/refrigerate'}, {'nome': 'Snow Warning', 'desc': 'The Pokémon summons a hailstorm in battle.', 'efeito': 'Snow Warning creates a hailstorm when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/snow-warning'}]",Aurorus,699,225.0 kg (496.0 lbs),,"Rock, Ice",https://pokemondb.net/pokedex/aurorus
1.6 m (5′03″),"[{'nome': 'Steadfast', 'desc': 'Raises Speed each time the Pokémon flinches.', 'efeito': 'Raises Speed each time the Pokémon flinches.', 'url': 'https://pokemondb.net/ability/steadfast'}, {'nome': 'Sharpness', 'desc': 'Powers up slicing moves.', 'efeito': 'Sharpness increases the power of all slicing moves by 50%.', 'url': 'https://pokemondb.net/ability/sharpness'}, {'nome': 'Justified', 'desc': 'Raises Attack when hit by a Dark-type move.', 'efeito': ""Justified raises the ability-bearer's Attack by one stage when hit by a damaging Dark-type move."", 'url': 'https://pokemondb.net/ability/justified'}, {'nome': 'Inner Focus', 'desc': 'Prevents flinching.', 'efeito': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}]",Gallade,475,52.0 kg (114.6 lbs),,"Psychic, Fighting",https://pokemondb.net/pokedex/gallade
